first_deriv_682.0,lat_norm,first_deriv_555.0,first_deriv_563.0,first_deriv_542.0,first_deriv_560.0,first_deriv_565.0,Rrs_686.0,first_deriv_558.0,first_deriv_532.0,first_deriv_692.0,Rrs_684.0,Rrs_682.0,first_deriv_699.0,first_deriv_694.0,Rrs_692.0,first_deriv_545.0,first_deriv_691.0,first_deriv_693.0,Rrs_683.0,dist_from_center,Rrs_681.0,first_deriv_568.0,first_deriv_707.0,second_deriv_653.0,first_deriv_702.0,first_deriv_701.0,second_deriv_671.0,Rrs_717.0,Rrs_691.0,second_deriv_487.0,second_deriv_565.0,second_deriv_515.0,first_deriv_703.0,first_deriv_696.0,first_deriv_698.0,second_deriv_505.0,Rrs_702.0,Rrs_689.0,second_deriv_540.0,second_deriv_660.0,Rrs_701.0,Rrs_679.0,first_deriv_708.0,second_deriv_490.0,first_deriv_550.0,second_deriv_356.0,first_deriv_697.0,second_deriv_361.0,second_deriv_403.0,first_deriv_540.0,first_deriv_704.0,lon_norm,Rrs_688.0,first_deriv_673.0,Rrs_693.0,first_deriv_553.0,first_deriv_683.0,Rrs_694.0,Rrs_696.0,Rrs_703.0,first_deriv_706.0,Rrs_678.0,first_deriv_670.0,FLH,first_deriv_547.0,first_deriv_676.0,first_deriv_530.0,second_deriv_665.0,Rrs_699.0,second_deriv_502.0,first_deriv_510.0,Rrs_704.0,Rrs_698.0,Rrs_676.0,first_deriv_512.0,Rrs_697.0,Rrs_719.0,Rrs_677.0,Rrs_673.0,Rrs_675.0,first_deriv_675.0,Rrs_687.0,first_deriv_657.0,first_deriv_507.0,first_deriv_672.0,second_deriv_666.0,first_deriv_668.0,first_deriv_655.0,blue_green_ratio,ratio_490_555,first_deriv_713.0,second_deriv_462.0,Rrs_706.0,second_deriv_676.0,auc_nir,first_deriv_681.0,second_deriv_542.0,first_deriv_535.0,Rrs_671.0
0.001610137,-0.078187294,0.00541809,-0.014892272,0.014646912,-0.00088237383,0.027062837,-0.0018285995,0.0029106033,0.16512346,-0.029583512,0.0,0.0,0.021665433,0.053540863,0.017363213,0.015610157,0.0070782234,0.005112808,0.0,0.004328608,0.0,0.0029284332,0.004630617,-0.0051031783,0.0,0.0015306954,0.014748961,-0.00899595,-0.005020243,0.020754632,-0.0009778708,0.023779286,0.0,0.04045484,-0.011519326,0.036159925,-0.0015671928,0.0,-0.024742987,0.005103543,0.0,0.0,0.011958663,-0.014194457,0.008651665,0.022728251,0.0,-0.10991542,-0.0051265107,0.0,-0.0004370429,-0.018135639,0.0,0.0038489613,0.0,0.009461082,7.882062e-05,0.0,0.0,0.0,0.002964636,0.0,0.005903515,0.0,-0.0014489244,0.029213995,0.15253016,0.03029459,0.0,0.003411547,-0.015303846,-0.0042795823,0.0,-0.020688942,0.0,0.0,-0.01756327,0.0,0.0,0.0,0.0,0.0,0.044425864,-0.04388459,-0.0014481479,-0.008902496,-0.0071598813,0.010840668,0.0,0.0,0.0,0.008067649,0.0,0.014944635,0.0,-0.0012151588,0.0056171683,-0.027906539,-0.025545023
0.03376721,-0.033300094,0.0029397234,-0.012440017,0.038725786,-0.00088237383,0.020562626,-0.0026003353,0.0029106033,-0.012940672,-0.020043693,0.0,0.0,-0.0036794725,0.011953047,0.043307256,0.060954656,0.0070782234,0.0057803765,0.0,-0.02348242,0.0,-0.024052303,0.0019858484,-0.022182662,0.0,0.0018962104,-0.017489772,-0.0041275285,-0.010408452,0.020754632,-0.00041908748,0.017595919,0.0,0.028922802,0.06253349,-0.0016705,-0.0015671928,0.0,-0.072543874,-0.014484284,0.0,0.0,-0.03171235,-0.015993815,0.016607936,0.028969321,0.0,-0.008058483,0.008109253,0.0,-0.0041221622,-0.022281483,0.0,0.0038489613,0.0,0.010758955,0.010281533,0.0,0.0,0.0,0.0028901494,0.0,0.0075065955,0.0,-0.0025914211,0.0029448727,-0.05121607,0.022314074,0.0,0.0045364276,-0.008994743,-0.01019715,0.0,0.013605911,0.0,0.0,-0.0031527393,0.0,0.0,0.0,0.0,0.0,-0.007760627,-0.033206787,-0.0024859682,-0.008280296,-0.010482994,-0.004200843,0.0,0.0,0.0,-0.1011447,0.0,-0.028394807,0.0,-0.0067194123,-0.0029187948,0.0014534653,-0.019034397
-0.051561996,0.078352556,-2.0951964e-05,-0.012370924,-0.012010671,-0.00088237383,0.01600435,-0.0014647378,0.0029106033,-0.0114652235,-0.0004395824,0.0,0.0,0.007429762,0.013730818,0.017203294,-0.019274341,-0.0003455216,0.0057803765,0.0,-0.004722393,0.0,0.016415086,0.004630617,-0.00091710314,0.0,0.0018962104,0.02766699,-0.0035396023,-0.005020243,0.007840818,-0.011415371,0.023726394,0.0,0.026230441,-0.0022477428,0.0440187,-0.0015671928,0.0,-0.014197023,0.01991356,0.0,0.0,-0.016283436,-0.019025613,0.008651665,0.015811278,0.0,0.011514548,0.042855926,0.0,-0.0037792202,0.11045638,0.0,0.00853776,0.0,0.04121276,0.021045487,0.0,0.0,0.0,0.002964636,0.0,0.0031158067,0.0,-0.002797692,0.0032758752,0.01857883,-0.015435327,0.0,0.003146869,-0.008193112,-0.003389816,0.0,0.013605911,0.0,0.0,0.0057064393,0.0,0.0,0.0,0.0,0.0,0.010338115,-0.005255988,-0.027434338,0.023371017,-0.012962776,0.001260253,0.0,0.0,0.0,0.015541231,0.0,0.014944635,0.0,-0.015876627,-0.033310544,0.0014534653,-0.024423193
0.074697345,0.07900123,-0.0043753716,-0.06048114,0.0049139573,-0.00088237383,-0.0030893972,0.0038247267,0.0029106033,0.0021478273,-0.017728139,0.0,0.0,0.045048356,0.028479783,0.05664125,0.020693297,0.0070782234,0.006937552,0.0,-0.0074030114,0.0,-0.031323012,-0.026866145,-0.0058355643,0.0,0.0018962104,-0.016084911,0.091529414,-0.0033022694,0.0035829428,-0.00041908748,0.0060331714,0.0,0.009177551,-0.011519326,-0.011406857,-0.0009820531,0.0,0.08881978,0.005103543,0.0,0.0,0.015228866,-0.011950185,0.0069447863,0.025929026,0.0,0.010434883,-0.056646552,0.0,0.034423053,0.032716148,0.0,0.0010100051,0.0,0.013416423,0.018857945,0.0,0.0,0.0,-0.100191854,0.0,-0.0030203257,0.0,-0.0008987,-0.0051272297,0.10484,0.03029459,0.0,0.003146869,-0.024462257,-0.0015369237,0.0,-0.033036973,0.0,0.0,0.0016911139,0.0,0.0,0.0,0.0,0.0,0.012388313,-0.026717879,0.0026587974,-0.0038193553,-0.0071598813,0.001260253,0.0,0.0,0.0,0.007400872,0.0,-0.028394807,0.0,-0.0014403383,0.018936811,0.004776101,0.016168315
0.012936608,-0.039039634,-0.014126506,-0.013926412,0.052884903,-0.00046189997,0.033079546,-0.031748444,0.007091669,-0.010584401,-0.009630328,0.0,0.0,-0.015155619,-0.07677473,-0.20697692,0.07015646,0.0047727176,-0.09999669,0.0,0.014336828,0.0,-0.01280532,0.0010361263,-0.014337536,0.0,-0.0023937733,-0.0059117978,-0.01868556,0.019482493,0.0068621445,0.0012572623,0.0074663986,0.0,-0.05762655,0.02350277,-0.01039527,-0.0023300573,0.0,-0.07186485,-0.0055302195,0.0,0.0,-0.030512441,-0.037157368,-2.7064001e-05,-0.12715495,0.0,-0.011975835,-0.03261822,0.0,-0.0114486255,-0.037673105,0.0,0.0054243314,0.0,0.010758955,-0.018158916,0.0,0.0,0.0,0.0020998456,0.0,0.014293234,0.0,-0.0025914211,0.005230367,-0.03451051,-0.015435327,0.0,-0.024686398,-0.05344632,0.026949612,0.0,0.013605911,0.0,0.0,-0.00056435505,0.0,0.0,0.0,0.0,0.0,-0.018251412,0.03484603,-0.021281842,-0.012622181,-0.08660124,-0.0025635664,0.0,0.0,0.0,0.009512522,0.0,0.004447287,0.0,-0.0083025545,-0.005064995,0.0009477245,0.10947277
0.08970324,0.0010383532,0.00024530198,-0.12100434,0.0059055705,-0.00088237383,-0.011552149,-0.00041808258,0.0029106033,0.022524733,0.07394976,0.0,0.0,0.021665433,0.022314597,0.054245528,0.024537554,-0.0469277,0.00858606,0.0,0.04457078,0.0,-0.013399041,-0.0007198085,-0.02042247,0.0,0.019123677,0.04885827,-0.0026095628,-0.0033022694,0.013099961,-0.0009778708,0.0120820105,0.0,0.033527955,-0.004163184,0.020722695,-0.0015671928,0.0,0.22435486,-0.0013298972,0.0,0.0,0.07380924,-0.011740432,0.0069447863,0.029555282,0.0,0.024972964,0.047077075,0.0,0.017529063,-0.030540694,0.0,0.0038489613,0.0,0.004110525,0.021045487,0.0,0.0,0.0,-0.100191854,0.0,0.003270612,0.0,-0.0014489244,-0.0051272297,0.17168838,0.022314074,0.0,0.015053543,0.010348962,-0.0024761548,0.0,0.039900094,0.0,0.0,-0.00045740197,0.0,0.0,0.0,0.0,0.0,0.0050109196,-0.039825093,0.019706536,-0.008902496,-0.0071598813,0.001260253,0.0,0.0,0.0,0.0063328412,0.0,0.004193795,0.0,0.0080813235,0.0044758935,0.0012509414,-0.025545023
-0.06430439,-0.051332448,0.0023418525,-0.024289194,-0.014025964,0.0005263691,-0.105145335,-0.0034592173,0.002091604,-0.014781526,-0.0039437925,0.0,0.0,0.010283929,-0.036452893,0.016556244,-0.030499874,0.0005067508,0.0050675133,0.0,-0.0072448472,0.0,0.0022988783,0.01601886,0.087075435,0.0,0.0015306954,0.03238584,-0.0035396023,-0.005020243,0.007840818,-0.00266692,0.023779286,0.0,0.037159696,-0.0037836577,-0.008893195,-0.0015671928,0.0,-0.03445215,-0.0013298972,0.0,0.0,0.011823402,-0.042786025,7.718522e-05,-0.0223023,0.0,0.011514548,0.0071421852,0.0,0.009115867,-0.0073780417,0.0,0.015923653,0.0,-0.004905745,0.0023299772,0.0,0.0,0.0,0.0022697174,0.0,0.018812975,0.0,-0.0032593491,0.010412517,0.020432198,0.0064458,0.0,-0.0013707003,-0.006594892,-0.01019715,0.0,-0.03419328,0.0,0.0,-0.000584387,0.0,0.0,0.0,0.0,0.0,0.0886702,-0.028483775,-0.021346707,-0.044444304,-5.9150276e-05,0.003683305,0.0,0.0,0.0,0.006081244,0.0,0.014944635,0.0,-0.0069567887,-0.16576567,0.0014534653,-0.014386813
-0.036549594,0.07967899,-0.004480463,-0.0072172685,-0.020889355,0.00046189982,-0.031743873,-0.0006625216,0.014247557,-0.0114652235,-0.019298287,0.0,0.0,-0.004056139,-0.04344609,-0.023290101,-0.021633316,0.0036175838,-0.06616139,0.0,-0.0031343256,0.0,0.007983317,0.00038661552,-0.017105415,0.0,0.0011968865,-0.060530763,-0.007961023,0.019482493,0.01410632,0.0047328314,0.0074663986,0.0,-0.03224872,-0.0022477428,-0.002042435,-0.006904106,0.0,-0.013089475,-0.0055302195,0.0,0.0,-0.030328017,-0.011571539,0.008651665,0.051431157,0.0,0.021087296,-0.084979504,0.0,0.0043633264,0.07383275,0.0,-0.015972253,0.0,-0.038373247,-0.009077078,0.0,0.0,0.0,0.002964636,0.0,-0.013800418,0.0,-0.002797692,0.0032758752,-0.0041282345,-0.007983587,0.0,0.026475295,0.013994763,-0.003389816,0.0,0.013605911,0.0,0.0,-0.004953538,0.0,0.0,0.0,0.0,0.0,-0.0018569,0.06687017,-0.028160024,0.02404977,0.0009277547,-0.0025635664,0.0,0.0,0.0,0.023687191,0.0,0.004447287,0.0,0.027838811,-0.03727365,0.0009477245,-0.011328107
-0.058734123,-0.01778888,0.0010688134,-0.0024259286,-0.041245557,0.00088237383,0.01979312,-0.0011898184,0.0029106033,-0.00994115,0.019182269,0.0,0.0,0.011046095,0.018673228,0.018172476,-0.123817995,0.002125168,0.0119758975,0.0,0.014336828,0.0,0.0019070883,0.004630617,0.02198765,0.0,0.028561762,0.111557364,-0.0035396023,-0.005020243,0.006597717,-0.0007568973,0.0070897588,0.0,0.03401412,-0.0015403315,-0.035835978,-0.0015671928,0.0,0.027035639,-0.0055302195,0.0,0.0,-0.033817586,-0.025922615,-0.024673266,0.015811278,0.0,0.011514548,0.0017032907,0.0,-0.0004004219,-0.04297627,0.0,0.00853776,0.0,-0.0061301705,0.021045487,0.0,0.0,0.0,0.002501432,0.0,-0.005509718,0.0,-0.009987822,0.0032758752,-0.010703599,0.008215576,0.0,-0.014103825,-0.011449899,-0.01019715,0.0,0.010116344,0.0,0.0,0.00028385513,0.0,0.0,0.0,0.0,0.0,0.09595952,-0.0027990434,-0.026905838,-0.045162264,-0.000748985,0.001260253,0.0,0.0,0.0,-0.005241462,0.0,0.004193795,0.0,-0.0069567887,-0.03405236,0.001667276,-0.014386813
0.09190532,-0.021206561,0.0057052947,-0.02990687,0.038725786,-0.0005263691,0.034569174,-0.0011898184,0.0029106033,-0.0069252243,-0.006787629,0.0,0.0,-0.0027534796,0.02057574,0.028684475,0.06896424,0.0047727176,0.007848322,0.0,0.016519653,0.0,0.0034016492,0.0012784952,0.044190608,0.0,-0.003061391,-0.0664541,-0.0049885414,0.0351417,0.013099961,-0.00041908748,0.0070897588,0.0,0.017835645,-0.004329458,0.002114363,-0.0015671928,0.0,0.020384353,-0.0055302195,0.0,0.0,-0.03400201,-0.016254766,0.008651665,0.030651312,0.0,0.022309115,0.0044337767,0.0,-0.0041204207,-0.046270475,0.0,0.0038489613,0.0,0.011822472,0.021045487,0.0,0.0,0.0,0.002964636,0.0,0.0062313867,0.0,-0.0025914211,0.0032758752,0.004310223,0.022314074,0.0,-0.014103825,-0.011449899,-0.0040130788,0.0,0.010116344,0.0,0.0,-0.00056435505,0.0,0.0,0.0,0.0,0.0,0.032190114,0.056614812,-0.020285223,-0.008280296,0.010199709,0.001260253,0.0,0.0,0.0,0.0048235306,0.0,0.004193795,0.0,0.0080813235,-0.03468624,0.0014534653,-0.019034397
